reward 19,reward 20,reward 16,reward 26,reward 14,reward 1,reward 25,reward 28,reward 29,reward 3,reward 5,reward 8,reward 10,reward 21,reward 11,StepNum,reward 9,reward 15,reward 18,reward 7,reward 0,reward 22,reward 6,reward 13,reward 2,reward 12,reward 24,reward 27,reward 17,reward 4,reward 23
-99443.57492002728,-99458.78366343891,239.20713966663632,-99474.85828320813,246.0907083535224,298.1284403022975,-99474.19081754799,-99477.87551950442,-99478.88101482918,295.1438042040718,284.54933867992406,264.7703181376506,254.04253179407357,-99462.81805576949,253.42257591416939,24000,258.0363522945608,242.23302038083702,-99443.1500588495,272.01979088045886,314.84223459141464,-99463.16161319724,277.60301558415813,250.16493109534593,297.35196612032354,251.67298499706763,-99474.11775511147,-99477.30579237921,229.24797612213447,292.60730275135404,-99472.07662119986
-99443.1500588495,-99443.57492002728,242.23302038083702,-99474.19081754799,250.16493109534593,298.1284403022975,-99474.11775511147,-99477.30579237921,-99477.87551950442,295.1438042040718,284.54933867992406,272.01979088045886,258.0363522945608,-99458.78366343891,254.04253179407357,25000,264.7703181376506,246.0907083535224,229.24797612213447,277.60301558415813,314.84223459141464,-99462.81805576949,283.240207612529,251.67298499706763,297.35196612032354,253.42257591416939,-99472.07662119986,-99474.85828320813,239.20713966663632,292.60730275135404,-99463.16161319724
229.24797612213447,-99443.1500588495,246.0907083535224,-99474.11775511147,251.67298499706763,314.84223459141464,-99472.07662119986,-99474.85828320813,-99477.30579237921,297.35196612032354,292.60730275135404,277.60301558415813,264.7703181376506,-99443.57492002728,258.0363522945608,26000,272.01979088045886,250.16493109534593,239.20713966663632,283.240207612529,377.8944151890383,-99458.78366343891,284.54933867992406,253.42257591416939,298.1284403022975,254.04253179407357,-99463.16161319724,-99474.19081754799,242.23302038083702,295.1438042040718,-99462.81805576949
239.20713966663632,229.24797612213447,250.16493109534593,-99472.07662119986,253.42257591416939,314.84223459141464,-99463.16161319724,-99474.19081754799,-99474.85828320813,297.35196612032354,292.60730275135404,277.60301558415813,268.27812829626123,-99443.1500588495,264.7703181376506,27000,272.01979088045886,251.67298499706763,242.23302038083702,283.240207612529,377.8944151890383,-99443.57492002728,284.54933867992406,254.04253179407357,298.1284403022975,258.0363522945608,-99462.81805576949,-99474.11775511147,246.0907083535224,295.1438042040718,-99458.78366343891
242.23302038083702,239.20713966663632,251.67298499706763,-99462.89933153328,254.04253179407357,314.84223459141464,-99462.81805576949,-99468.96620603907,-99472.07662119986,297.35196612032354,292.60730275135404,280.88525908689087,272.01979088045886,229.24797612213447,268.27812829626123,28000,277.60301558415813,253.42257591416939,246.0907083535224,283.240207612529,377.8944151890383,-99443.1500588495,284.54933867992406,258.0363522945608,298.1284403022975,264.7703181376506,-99458.78366343891,-99463.16161319724,250.16493109534593,295.1438042040718,-99443.57492002728
242.23302038083702,239.20713966663632,251.67298499706763,-99462.81805576949,254.04253179407357,314.84223459141464,-99459.87479378606,-99463.16161319724,-99464.92527887416,297.35196612032354,292.60730275135404,280.88525908689087,272.01979088045886,229.24797612213447,268.27812829626123,29000,277.60301558415813,253.42257591416939,246.0907083535224,283.240207612529,377.8944151890383,-99443.1500588495,284.54933867992406,258.0363522945608,298.1284403022975,264.7703181376506,-99458.78366343891,-99462.89933153328,250.16493109534593,295.1438042040718,-99443.57492002728
242.23302038083702,239.20713966663632,251.67298499706763,-99460.4928898794,254.04253179407357,314.84223459141464,-99459.87479378606,-99462.89933153328,-99463.16161319724,297.35196612032354,292.60730275135404,280.88525908689087,272.01979088045886,229.24797612213447,268.27812829626123,30000,277.60301558415813,253.42257591416939,246.0907083535224,283.240207612529,377.8944151890383,-99443.1500588495,284.54933867992406,258.0363522945608,298.1284403022975,264.7703181376506,-99458.78366343891,-99462.81805576949,250.16493109534593,295.1438042040718,-99443.57492002728
242.23302038083702,239.20713966663632,251.67298499706763,-99460.4928898794,254.04253179407357,314.84223459141464,-99459.87479378606,-99462.89933153328,-99463.16161319724,297.35196612032354,292.60730275135404,280.88525908689087,272.01979088045886,229.24797612213447,268.27812829626123,31000,277.60301558415813,253.42257591416939,246.0907083535224,283.240207612529,377.8944151890383,-99443.1500588495,284.54933867992406,258.0363522945608,298.1284403022975,264.7703181376506,-99458.78366343891,-99462.81805576949,250.16493109534593,295.1438042040718,-99443.57492002728
250.16493109534593,246.0907083535224,254.04253179407357,-99458.78366343891,264.7703181376506,314.84223459141464,-99443.57492002728,-99460.4928898794,-99462.81805576949,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,32000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99459.87479378606,253.42257591416939,295.1438042040718,229.24797612213447
250.16493109534593,246.0907083535224,254.04253179407357,-99458.78366343891,264.7703181376506,314.84223459141464,-99443.57492002728,-99460.4928898794,-99462.81805576949,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,33000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99459.87479378606,253.42257591416939,295.1438042040718,229.24797612213447
250.16493109534593,246.0907083535224,254.04253179407357,-99446.75844615656,264.7703181376506,314.84223459141464,-99443.57492002728,-99459.87479378606,-99460.4928898794,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,34000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99458.78366343891,253.42257591416939,295.1438042040718,229.24797612213447
250.16493109534593,246.0907083535224,254.04253179407357,-99446.75844615656,264.7703181376506,314.84223459141464,-99443.57492002728,-99459.87479378606,-99460.4928898794,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,35000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99458.78366343891,253.42257591416939,295.1438042040718,229.24797612213447
250.16493109534593,246.0907083535224,254.04253179407357,-99446.75844615656,264.7703181376506,314.84223459141464,-99443.57492002728,-99459.87479378606,-99460.4928898794,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,36000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99458.78366343891,253.42257591416939,295.1438042040718,229.24797612213447
