reward 24,reward 22,reward 21,reward 18,reward 17,reward 10,reward 8,reward 7,reward 3,reward 13,reward 5,reward 29,reward 2,reward 19,reward 23,reward 26,reward 4,reward 14,reward 27,reward 16,reward 1,reward 28,reward 11,reward 12,reward 15,reward 25,StepNum,reward 20,reward 9,reward 6,reward 0
71.27571529379556,71.30846902653231,71.36179781492089,71.39575391516502,71.42673425464446,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.19675681365952,73.71431200486647,70.81699909098195,75.11030457807418,71.38552637386329,71.27806990462791,70.93501580352809,74.86758148907633,72.15225012195354,70.90558071635868,71.91221852637317,299.5231331566594,70.85189970163151,72.28967965735433,72.28252568370388,72.08997939636504,71.08483029487083,21000,71.36962868701832,72.74554626944952,73.54860191462653,344.33944095523896
71.27571529379556,71.30846902653231,71.36179781492089,71.39575391516502,71.42673425464446,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.19675681365952,73.71431200486647,70.85189970163151,75.11030457807418,71.38552637386329,71.27806990462791,71.08483029487083,74.86758148907633,72.15225012195354,70.93501580352809,71.91221852637317,299.5231331566594,70.90558071635868,72.28967965735433,72.28252568370388,72.08997939636504,71.14389503148742,22000,71.36962868701832,72.74554626944952,73.54860191462653,344.33944095523896
71.27571529379556,71.30846902653231,71.36179781492089,71.39575391516502,71.42673425464446,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.19675681365952,73.71431200486647,70.90558071635868,75.11030457807418,71.38552637386329,71.27806990462791,71.08483029487083,74.86758148907633,72.15225012195354,71.03796212179012,71.91221852637317,299.5231331566594,70.93501580352809,72.28967965735433,72.28252568370388,72.08997939636504,71.14389503148742,23000,71.36962868701832,72.74554626944952,73.54860191462653,344.33944095523896
71.27571529379556,71.30846902653231,71.36179781492089,71.39575391516502,71.42673425464446,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.19675681365952,73.71431200486647,70.93501580352809,75.11030457807418,71.38552637386329,71.27806990462791,71.08483029487083,74.86758148907633,72.15225012195354,71.03796212179012,71.91221852637317,299.5231331566594,71.03794878745505,72.28967965735433,72.28252568370388,72.08997939636504,71.14389503148742,24000,71.36962868701832,72.74554626944952,73.54860191462653,344.33944095523896
71.27571529379556,71.30846902653231,71.36179781492089,71.39575391516502,71.42673425464446,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.19675681365952,73.71431200486647,71.03794878745505,75.11030457807418,71.38552637386329,71.27806990462791,71.12068498535079,74.86758148907633,72.15225012195354,71.08483029487083,71.91221852637317,299.5231331566594,71.03796212179012,72.28967965735433,72.28252568370388,72.08997939636504,71.14389503148742,25000,71.36962868701832,72.74554626944952,73.54860191462653,344.33944095523896
71.30846902653231,71.36962868701832,71.38552637386329,71.47275424721111,71.91221852637317,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.28252568370388,73.71431200486647,71.08483029487083,75.11030457807418,71.42673425464446,71.36179781492089,71.27571529379556,74.86758148907633,72.19675681365952,71.14389503148742,72.08997939636504,299.5231331566594,71.12068498535079,72.33806482269394,72.28967965735433,72.15225012195354,71.27806990462791,26000,71.39575391516502,72.74554626944952,73.54860191462653,344.33944095523896
71.30846902653231,71.36962868701832,71.38552637386329,71.47275424721111,71.91221852637317,72.64525156325055,72.90569443162578,73.18481632236747,75.10251581165028,72.28252568370388,73.71431200486647,71.08483029487083,75.11030457807418,71.42673425464446,71.36179781492089,71.27571529379556,74.86758148907633,72.19675681365952,71.14389503148742,72.08997939636504,299.5231331566594,71.12068498535079,72.33806482269394,72.28967965735433,72.15225012195354,71.27806990462791,27000,71.39575391516502,72.74554626944952,73.54860191462653,344.33944095523896
71.36962868701832,71.39575391516502,71.42673425464446,72.08997939636504,72.15225012195354,72.90569443162578,73.2037512431754,73.32683027432381,75.10251581165028,72.33806482269394,73.71431200486647,71.14389503148742,75.11030457807418,71.91221852637317,71.38552637386329,71.30846902653231,74.86758148907633,72.28967965735433,71.27806990462791,72.19675681365952,299.5231331566594,71.27571529379556,72.74554626944952,72.64525156325055,72.28252568370388,71.36179781492089,28000,71.47275424721111,73.18481632236747,73.54860191462653,344.33944095523896
71.38552637386329,71.42673425464446,71.47275424721111,72.08997939636504,72.15225012195354,72.90569443162578,73.2037512431754,73.32683027432381,75.10251581165028,72.33806482269394,73.71431200486647,71.27571529379556,75.11030457807418,71.91221852637317,71.39575391516502,71.36179781492089,74.86758148907633,72.28967965735433,71.30846902653231,72.19675681365952,299.5231331566594,71.27806990462791,72.74554626944952,72.64525156325055,72.28252568370388,71.36962868701832,29000,71.51822068455678,73.18481632236747,73.54860191462653,344.33944095523896
71.38552637386329,71.42673425464446,71.47275424721111,72.08997939636504,72.15225012195354,72.90569443162578,73.2037512431754,73.32683027432381,75.10251581165028,72.33806482269394,73.71431200486647,71.27571529379556,75.11030457807418,71.91221852637317,71.39575391516502,71.36179781492089,74.86758148907633,72.28967965735433,71.30846902653231,72.19675681365952,299.5231331566594,71.27806990462791,72.74554626944952,72.64525156325055,72.28252568370388,71.36962868701832,30000,71.51822068455678,73.18481632236747,73.54860191462653,344.33944095523896
71.38552637386329,71.42673425464446,71.47275424721111,72.08997939636504,72.15225012195354,72.90569443162578,73.2037512431754,73.32683027432381,75.10251581165028,72.33806482269394,73.71431200486647,71.27571529379556,75.11030457807418,71.91221852637317,71.39575391516502,71.36179781492089,74.86758148907633,72.28967965735433,71.30846902653231,72.19675681365952,299.5231331566594,71.27806990462791,72.74554626944952,72.64525156325055,72.28252568370388,71.36962868701832,31000,71.51822068455678,73.18481632236747,73.54860191462653,344.33944095523896
71.38552637386329,71.42673425464446,71.47275424721111,72.08997939636504,72.15225012195354,72.90569443162578,73.2037512431754,73.32683027432381,75.10251581165028,72.33806482269394,73.71431200486647,71.27806990462791,75.11030457807418,71.91221852637317,71.39575391516502,71.36179781492089,74.86758148907633,72.28967965735433,71.30846902653231,72.19675681365952,299.5231331566594,71.27816990462792,72.74554626944952,72.64525156325055,72.28252568370388,71.36962868701832,32000,71.51822068455678,73.18481632236747,73.54860191462653,344.33944095523896
71.38552637386329,71.42673425464446,71.47275424721111,72.08997939636504,72.15225012195354,72.90569443162578,73.2037512431754,73.32683027432381,75.10251581165028,72.33806482269394,73.71431200486647,71.27806990462791,75.11030457807418,71.91221852637317,71.39575391516502,71.36179781492089,74.86758148907633,72.28967965735433,71.30846902653231,72.19675681365952,299.5231331566594,71.27816990462792,72.74554626944952,72.64525156325055,72.28252568370388,71.36962868701832,33000,71.51822068455678,73.18481632236747,73.54860191462653,344.33944095523896
71.40954524499904,71.47275424721111,71.51822068455678,72.15225012195354,72.19675681365952,73.18481632236747,73.32683027432381,73.54860191462653,75.10251581165028,72.64525156325055,74.69869762848242,71.30846902653231,75.11030457807418,72.08997939636504,71.42673425464446,71.38552637386329,74.86758148907633,72.33806482269394,71.36962868701832,72.28252568370388,299.5231331566594,71.36179781492089,72.90569443162578,72.74554626944952,72.28967965735433,71.39575391516502,34000,71.91221852637317,73.2037512431754,73.71431200486647,344.33944095523896
71.44802457554556,71.51822068455678,71.91221852637317,72.15225012195354,72.19675681365952,73.18481632236747,73.32683027432381,73.54860191462653,75.10251581165028,72.64525156325055,74.69869762848242,71.38552637386329,75.11030457807418,72.08997939636504,71.47275424721111,71.42673425464446,74.86758148907633,72.33806482269394,71.40954524499904,72.28252568370388,299.5231331566594,71.39575391516502,72.90569443162578,72.74554626944952,72.28967965735433,71.435534296686,35000,71.91404899020291,73.2037512431754,73.71431200486647,344.33944095523896
