reward 15,reward 1,reward 13,reward 22,reward 11,reward 26,reward 5,StepNum,reward 19,reward 0,reward 27,reward 2,reward 3,reward 23,reward 20,reward 14,reward 12,reward 16,reward 9,reward 18,reward 10,reward 6,reward 25,reward 4,reward 17,reward 21,reward 29,reward 24,reward 8,reward 28,reward 7
553.4381746109416,648.2433111058588,604.5447257996426,-98133.47827045919,613.784667479423,-98188.16593985383,628.7249473413298,21000,-98104.89382555333,664.2274193668964,-98188.79378475394,636.7271774720641,635.0690716367727,-98159.32849525107,-98115.79498989363,558.6044916340027,611.5126175849558,475.10184951194265,616.4511492351379,435.0227170144911,614.6512806466424,619.5891389235895,-98179.03075495905,630.7785740116523,435.180802078322,-98125.62713462589,-98201.99598532733,-98174.34967085547,616.9186902054563,-98199.3331868353,616.9567374337277
553.4381746109416,648.2433111058588,604.5447257996426,-98133.47827045919,613.784667479423,-98179.03075495905,628.7249473413298,22000,-98104.89382555333,664.2274193668964,-98188.16593985383,636.7271774720641,635.0690716367727,-98134.5538711801,-98115.79498989363,558.6044916340027,611.5126175849558,475.10184951194265,616.4511492351379,435.0227170144911,614.6512806466424,619.5891389235895,-98174.34967085547,630.7785740116523,435.180802078322,-98125.62713462589,-98199.3331868353,-98159.32849525107,616.9186902054563,-98188.79378475394,616.9567374337277
558.6044916340027,648.2433111058588,604.5447257996426,-98125.62713462589,613.784667479423,-98174.34967085547,628.7249473413298,23000,435.0227170144911,664.2274193668964,-98179.03075495905,636.7271774720641,635.0690716367727,-98133.47827045919,-98104.89382555333,594.9558968519804,611.5126175849558,553.4381746109416,616.4511492351379,435.180802078322,614.6512806466424,619.5891389235895,-98159.32849525107,630.7785740116523,475.10184951194265,-98115.79498989363,-98188.79378475394,-98134.5538711801,616.9186902054563,-98188.16593985383,616.9567374337277
573.5177233540745,648.2433111058588,604.5447257996426,-98115.79498989363,613.784667479423,-98159.32849525107,628.7249473413298,24000,435.180802078322,664.2274193668964,-98174.34967085547,636.7271774720641,635.0690716367727,-98125.62713462589,435.0227170144911,594.9558968519804,611.5126175849558,558.6044916340027,616.4511492351379,475.10184951194265,614.6512806466424,619.5891389235895,-98134.5538711801,630.7785740116523,553.4381746109416,-98104.89382555333,-98188.16593985383,-98133.47827045919,616.9186902054563,-98179.03075495905,616.9567374337277
594.9558968519804,648.2433111058588,611.5126175849558,-98104.89382555333,614.6512806466424,-98134.5538711801,630.7785740116523,25000,475.10184951194265,664.2274193668964,-98159.32849525107,636.7271774720641,635.0690716367727,-98115.79498989363,435.180802078322,604.5447257996426,613.784667479423,573.5177233540745,616.9186902054563,553.4381746109416,616.4511492351379,628.7249473413298,-98133.47827045919,634.1447390885603,558.6044916340027,435.0227170144911,-98179.03075495905,-98125.62713462589,616.9567374337277,-98174.34967085547,619.5891389235895
594.9558968519804,648.2433111058588,611.5126175849558,-98104.89382555333,614.6512806466424,-98134.5538711801,630.7785740116523,26000,475.10184951194265,664.2274193668964,-98159.32849525107,636.7271774720641,635.0690716367727,-98115.79498989363,435.180802078322,604.5447257996426,613.784667479423,573.5177233540745,616.9186902054563,553.4381746109416,616.4511492351379,628.7249473413298,-98133.47827045919,634.1447390885603,558.6044916340027,435.0227170144911,-98174.34967085547,-98125.62713462589,616.9567374337277,-98169.09468395768,619.5891389235895
604.5447257996426,648.2433111058588,611.5126175849558,435.180802078322,614.6512806466424,-98125.62713462589,630.7785740116523,27000,558.6044916340027,664.2274193668964,-98133.47827045919,636.7271774720641,635.0690716367727,435.0227170144911,553.4381746109416,607.5823522515788,613.784667479423,594.9558968519804,616.9186902054563,573.5177233540745,616.4511492351379,628.7249473413298,-98115.79498989363,634.1447390885603,586.0978516189275,475.10184951194265,-98159.32849525107,-98104.89382555333,616.9567374337277,-98134.5538711801,619.5891389235895
604.5447257996426,648.2433111058588,611.5126175849558,435.180802078322,614.6512806466424,-98125.62713462589,630.7785740116523,28000,558.6044916340027,664.2274193668964,-98133.47827045919,636.7271774720641,635.0690716367727,435.0227170144911,553.4381746109416,607.5823522515788,613.784667479423,594.9558968519804,616.9186902054563,573.5177233540745,616.4511492351379,628.7249473413298,-98115.79498989363,634.1447390885603,586.0978516189275,475.10184951194265,-98159.32849525107,-98104.89382555333,616.9567374337277,-98134.5538711801,619.5891389235895
607.5823522515788,648.2433111058588,613.7461678159284,475.10184951194265,614.6512806466424,-98104.89382555333,630.7785740116523,29000,573.5177233540745,664.2274193668964,-98115.79498989363,636.7271774720641,635.0690716367727,435.180802078322,558.6044916340027,611.5126175849558,613.784667479423,604.5447257996426,616.9186902054563,586.0978516189275,616.4511492351379,628.7249473413298,-98076.33291938645,634.1447390885603,594.9558968519804,553.4381746109416,-98133.47827045919,435.0227170144911,616.9567374337277,-98125.62713462589,619.5891389235895
611.5126175849558,654.7878353156469,613.784667479423,553.4381746109416,616.4511492351379,435.180802078322,634.1447390885603,30000,586.0978516189275,664.2274193668964,435.0227170144911,648.2433111058588,636.7271774720641,524.7690244685236,573.5177233540745,613.7461678159284,614.6512806466424,607.5823522515788,616.9567374337277,594.9558968519804,616.9186902054563,630.7785740116523,440.39601737792265,635.0690716367727,604.5447257996426,558.6044916340027,-98104.89382555333,475.10184951194265,619.5891389235895,-98076.33291938645,628.7249473413298
