reward 4,reward 22,reward 21,reward 26,reward 8,reward 28,StepNum,reward 13,reward 25,reward 7,reward 3,reward 27,reward 9,reward 18,reward 1,reward 11,reward 20,reward 0,reward 14,reward 2,reward 15,reward 10,reward 12,reward 24,reward 29,reward 19,reward 5,reward 16,reward 23,reward 17,reward 6
213.9942453420581,166.45670915812178,176.90809302353514,-99605.42933050875,205.25913156750943,-99661.59154269403,21000,188.48638632029045,-99439.8328457918,207.6105783008461,245.49178294014516,-99655.85992405859,199.32416569800378,178.523800066867,257.4183131932268,190.05261225101083,177.36152537772955,290.7685592533501,186.5789366366456,245.92021941950665,182.49963407665737,194.4068919043409,188.6239618491083,161.0720446507172,-99674.04614577234,178.3676842176665,211.33894854948323,181.64076162315823,163.5877934348276,180.83690294152,209.98409868683075
213.9942453420581,168.88312292549654,176.90809302353514,-99439.8328457918,205.25913156750943,-99655.85992405859,22000,188.48638632029045,161.0720446507172,207.6105783008461,245.49178294014516,-99605.42933050875,199.32416569800378,178.523800066867,257.4183131932268,190.05261225101083,177.36152537772955,290.7685592533501,186.5789366366456,245.92021941950665,182.49963407665737,194.4068919043409,188.6239618491083,163.5877934348276,-99661.59154269403,178.3676842176665,211.33894854948323,181.64076162315823,166.45670915812178,180.83690294152,209.98409868683075
213.9942453420581,176.90809302353514,177.36152537772955,161.0720446507172,205.25913156750943,-99605.42933050875,23000,188.48638632029045,163.5877934348276,207.6105783008461,245.49178294014516,-99439.8328457918,199.32416569800378,180.83690294152,257.4183131932268,190.05261225101083,178.3676842176665,290.7685592533501,186.5789366366456,245.92021941950665,183.0383990028713,194.4068919043409,188.6239618491083,166.45670915812178,-99655.85992405859,178.523800066867,211.33894854948323,182.49963407665737,168.88312292549654,181.64076162315823,209.98409868683075
245.49178294014516,177.36152537772955,178.3676842176665,163.5877934348276,207.6105783008461,-99439.8328457918,24000,188.6239618491083,166.45670915812178,209.98409868683075,245.92021941950665,161.0720446507172,205.25913156750943,181.64076162315823,269.2589273945885,194.4068919043409,178.523800066867,290.7685592533501,188.48638632029045,257.4183131932268,186.5789366366456,199.32416569800378,190.05261225101083,168.88312292549654,-99605.42933050875,180.83690294152,213.9942453420581,183.0383990028713,176.90809302353514,182.49963407665737,211.33894854948323
245.92021941950665,178.523800066867,180.83690294152,168.88312292549654,211.33894854948323,166.45670915812178,25000,194.4068919043409,176.90809302353514,213.9942453420581,257.4183131932268,166.65869440923797,209.98409868683075,183.0383990028713,290.7685592533501,205.25913156750943,181.64076162315823,360.14394111384513,190.05261225101083,269.2589273945885,188.6239618491083,207.6105783008461,199.32416569800378,177.36152537772955,163.5877934348276,182.49963407665737,245.49178294014516,188.48638632029045,178.3676842176665,186.5789366366456,216.48501454899946
245.92021941950665,180.83690294152,181.64076162315823,177.36152537772955,211.33894854948323,174.28189358674382,26000,194.4068919043409,178.3676842176665,213.9942453420581,257.4183131932268,176.90809302353514,209.98409868683075,186.5789366366456,290.7685592533501,205.25913156750943,182.49963407665737,360.14394111384513,191.61550659257432,269.2589273945885,190.05261225101083,207.6105783008461,199.32416569800378,178.523800066867,172.01712596040048,183.0383990028713,245.49178294014516,188.6239618491083,178.91592700290272,188.48638632029045,216.48501454899946
245.92021941950665,182.49963407665737,183.0383990028713,178.91592700290272,211.33894854948323,178.523800066867,27000,200.4709618817438,180.83690294152,213.9942453420581,257.4183131932268,178.84838780882382,209.98409868683075,188.6239618491083,290.7685592533501,207.6105783008461,186.5789366366456,360.14394111384513,199.32416569800378,269.2589273945885,194.4068919043409,208.02799674494187,205.25913156750943,181.64076162315823,178.3676842176665,188.48638632029045,245.49178294014516,191.61550659257432,182.4059021123984,190.05261225101083,216.48501454899946
245.92021941950665,183.0383990028713,186.5789366366456,180.83690294152,211.34757694720813,178.84838780882382,28000,205.25913156750943,181.64076162315823,213.9942453420581,257.4183131932268,178.91592700290272,211.33894854948323,190.05261225101083,290.7685592533501,208.02799674494187,188.48638632029045,360.14394111384513,200.4709618817438,269.2589273945885,199.32416569800378,209.98409868683075,207.6105783008461,182.4059021123984,178.523800066867,188.6239618491083,245.49178294014516,194.4068919043409,182.49963407665737,191.61550659257432,216.48501454899946
245.92021941950665,188.48638632029045,188.6239618491083,182.4059021123984,211.34757694720813,180.83690294152,29000,205.25913156750943,182.49963407665737,213.9942453420581,257.4183131932268,181.64076162315823,211.33894854948323,191.61550659257432,290.7685592533501,208.02799674494187,189.7240042353111,360.14394111384513,200.4709618817438,269.2589273945885,199.32416569800378,209.98409868683075,207.6105783008461,183.0383990028713,178.91592700290272,190.05261225101083,245.49178294014516,194.4068919043409,186.5789366366456,192.881729340319,216.48501454899946
257.4183131932268,189.7240042353111,190.05261225101083,183.0383990028713,213.9942453420581,182.4059021123984,30000,208.02799674494187,186.5789366366456,216.48501454899946,265.24887223505164,182.49963407665737,211.34757694720813,194.4068919043409,290.7685592533501,209.98409868683075,191.61550659257432,360.14394111384513,207.6105783008461,269.2589273945885,205.25913156750943,211.33894854948323,208.27045306513304,188.48638632029045,181.64076162315823,192.881729340319,245.92021941950665,200.4709618817438,188.6239618491083,199.32416569800378,245.49178294014516
