reward 15,reward 4,reward 5,reward 7,reward 22,reward 1,reward 25,reward 19,reward 6,reward 28,reward 20,reward 24,reward 8,reward 29,reward 23,reward 27,reward 10,reward 3,reward 14,reward 21,reward 13,reward 12,reward 9,reward 2,reward 11,reward 0,reward 17,reward 18,StepNum,reward 26,reward 16
172.63133297327633,211.54979515628372,197.98190215782216,190.20132747294915,161.8351455806537,240.23562240468056,155.6993944026683,168.69672253183683,194.92825875501242,145.91384279748496,165.69061510351324,157.41573462241115,189.53505977731112,143.91303332453904,157.74040671171133,149.00294111051463,180.13868574539347,213.2364932203032,174.88958552557776,162.94843091182707,174.92891430481907,179.66546126247118,184.35471801178124,219.69554679362764,179.80909349156497,343.7166753395228,170.23303000609235,169.57312955209437,11000,155.2393893962334,171.37963125060412
180.13868574539347,213.2364932203032,211.54979515628372,200.6273673637632,171.37963125060412,240.23562240468056,168.69672253183683,174.88958552557776,200.64729830554901,161.8351455806537,173.24617977691247,169.57312955209437,197.98190215782216,157.74040671171133,170.23303000609235,162.94843091182707,194.71535624982198,219.69554679362764,181.0115365389909,172.63133297327633,184.35471801178124,189.53505977731112,194.92825875501242,228.7189831266801,190.20132747294915,343.7166753395228,179.66546126247118,174.92891430481907,12000,165.69061510351324,179.80909349156497
181.0115365389909,213.2364932203032,211.54979515628372,200.64729830554901,172.63133297327633,240.23562240468056,169.57312955209437,174.92891430481907,200.79504417235353,162.94843091182707,174.88958552557776,170.23303000609235,200.6273673637632,161.8351455806537,171.37963125060412,165.69061510351324,194.92825875501242,219.69554679362764,184.35471801178124,173.24617977691247,189.53505977731112,190.20132747294915,197.98190215782216,228.7189831266801,194.71535624982198,343.7166753395228,179.80909349156497,179.66546126247118,13000,168.69672253183683,180.13868574539347
184.35471801178124,219.69554679362764,213.2364932203032,200.79504417235353,173.24617977691247,255.57177282983372,170.23303000609235,179.66546126247118,211.54979515628372,167.38043611477303,174.92891430481907,171.37963125060412,200.64729830554901,165.69061510351324,172.63133297327633,168.69672253183683,197.98190215782216,228.7189831266801,189.53505977731112,174.88958552557776,190.20132747294915,194.71535624982198,200.6273673637632,240.23562240468056,194.92825875501242,343.7166753395228,180.13868574539347,179.80909349156497,14000,169.57312955209437,181.0115365389909
188.60822230703016,219.69554679362764,213.2364932203032,200.79504417235353,174.88958552557776,255.57177282983372,171.37963125060412,179.80909349156497,211.54979515628372,168.69672253183683,179.66546126247118,172.63133297327633,200.64729830554901,167.38043611477303,173.24617977691247,169.57312955209437,197.98190215782216,228.7189831266801,189.53505977731112,174.92891430481907,190.20132747294915,194.71535624982198,200.6273673637632,240.23562240468056,194.92825875501242,343.7166753395228,181.0115365389909,180.13868574539347,15000,170.23303000609235,184.35471801178124
188.60822230703016,219.69554679362764,213.2364932203032,200.79504417235353,174.88958552557776,255.57177282983372,171.37963125060412,179.80909349156497,211.54979515628372,168.69672253183683,179.66546126247118,172.63133297327633,200.64729830554901,167.93035511770267,173.24617977691247,169.57312955209437,197.98190215782216,228.7189831266801,189.53505977731112,174.92891430481907,190.20132747294915,194.71535624982198,200.6273673637632,240.23562240468056,194.92825875501242,343.7166753395228,181.0115365389909,180.13868574539347,16000,170.23303000609235,184.35471801178124
189.53505977731112,219.69554679362764,213.2364932203032,203.0757147685789,179.66546126247118,255.57177282983372,173.24617977691247,181.0115365389909,211.54979515628372,170.23303000609235,180.13868574539347,174.88958552557776,200.79504417235353,169.57312955209437,174.92891430481907,171.37963125060412,200.6273673637632,228.7189831266801,190.20132747294915,179.80909349156497,194.71535624982198,194.92825875501242,200.64729830554901,240.23562240468056,197.98190215782216,343.7166753395228,184.35471801178124,182.87251168900067,17000,172.63133297327633,188.60822230703016
189.53505977731112,219.69554679362764,213.2364932203032,203.0757147685789,179.66546126247118,255.57177282983372,174.88958552557776,181.0115365389909,211.54979515628372,171.37963125060412,180.13868574539347,174.92891430481907,200.79504417235353,170.23303000609235,178.27037911631777,172.63133297327633,200.6273673637632,228.7189831266801,190.20132747294915,179.80909349156497,194.71535624982198,194.92825875501242,200.64729830554901,240.23562240468056,197.98190215782216,343.7166753395228,184.35471801178124,182.87251168900067,18000,173.24617977691247,188.60822230703016
189.573102493265,219.69554679362764,213.2364932203032,203.0757147685789,179.80909349156497,255.57177282983372,178.27037911631777,182.87251168900067,211.54979515628372,173.24617977691247,181.0115365389909,178.56227059432976,200.79504417235353,172.63133297327633,179.66546126247118,174.88958552557776,200.6273673637632,228.7189831266801,190.20132747294915,180.13868574539347,194.71535624982198,194.92825875501242,200.64729830554901,240.23562240468056,197.98190215782216,343.7166753395228,188.60822230703016,184.35471801178124,19000,174.92891430481907,189.53505977731112
189.573102493265,219.69554679362764,213.2364932203032,203.0757147685789,179.80909349156497,255.57177282983372,178.27037911631777,182.87251168900067,211.54979515628372,173.24617977691247,181.0115365389909,178.56227059432976,200.79504417235353,172.63133297327633,179.66546126247118,174.88958552557776,200.6273673637632,228.7189831266801,190.20132747294915,180.13868574539347,194.71535624982198,194.92825875501242,200.64729830554901,240.23562240468056,197.98190215782216,343.7166753395228,188.60822230703016,184.35471801178124,20000,174.92891430481907,189.53505977731112
