reward 29,reward 22,reward 21,reward 2,reward 15,reward 23,reward 24,reward 19,reward 14,reward 1,reward 28,StepNum,reward 25,reward 20,reward 16,reward 3,reward 10,reward 0,reward 9,reward 7,reward 18,reward 8,reward 5,reward 12,reward 26,reward 13,reward 11,reward 6,reward 27,reward 17,reward 4
309.9941286284178,317.8481276778499,317.97826482438325,367.29489144518857,326.823195000652,317.78161302705115,317.55508243098745,322.66176906245823,327.14185437309646,398.5042916585321,310.31407708143,23000,316.44804076397645,319.9612655813229,326.80544660621774,365.0524384350083,329.21410598913997,399.8653269533957,332.526094667258,338.22088389383134,322.7535821896627,336.20676490733507,354.5503519416399,328.0864159045042,314.1340210335754,327.21537347944434,328.6428337952979,341.52645545483426,313.03755436135646,325.5889353617576,364.3578338468513
310.31407708143,317.97826482438325,319.3568678660946,367.29489144518857,326.823195000652,317.8481276778499,317.78161302705115,322.66176906245823,327.14185437309646,398.5042916585321,313.03755436135646,24000,317.55508243098745,319.9612655813229,326.80544660621774,365.0524384350083,329.21410598913997,399.8653269533957,332.526094667258,338.22088389383134,322.7535821896627,336.20676490733507,354.5503519416399,328.0864159045042,316.44804076397645,327.21537347944434,328.6428337952979,341.52645545483426,314.1340210335754,325.5889353617576,364.3578338468513
313.03755436135646,319.3568678660946,319.9612655813229,398.5042916585321,327.14185437309646,317.97826482438325,317.8481276778499,322.7535821896627,327.21537347944434,399.8653269533957,314.1340210335754,25000,317.78161302705115,322.66176906245823,326.823195000652,367.29489144518857,332.526094667258,416.5976366056518,336.20676490733507,341.52645545483426,325.5889353617576,338.22088389383134,364.3578338468513,328.6428337952979,317.55508243098745,328.0864159045042,329.21410598913997,354.5503519416399,316.44804076397645,326.80544660621774,365.0524384350083
314.1340210335754,319.9612655813229,322.66176906245823,398.5042916585321,327.21537347944434,319.3568678660946,317.97826482438325,325.5889353617576,328.0864159045042,399.8653269533957,316.44804076397645,26000,317.8481276778499,322.7535821896627,327.14185437309646,367.29489144518857,336.20676490733507,416.5976366056518,338.22088389383134,343.33417256157674,326.80544660621774,341.52645545483426,364.3578338468513,329.21410598913997,317.78161302705115,328.6428337952979,332.526094667258,354.5503519416399,317.55508243098745,326.823195000652,365.0524384350083
314.1340210335754,319.9612655813229,322.66176906245823,398.5042916585321,327.21537347944434,319.3568678660946,317.97826482438325,325.5889353617576,328.0864159045042,399.8653269533957,316.44804076397645,27000,317.8481276778499,322.7535821896627,327.14185437309646,367.29489144518857,336.20676490733507,416.5976366056518,338.22088389383134,343.33417256157674,326.80544660621774,341.52645545483426,364.3578338468513,329.21410598913997,317.78161302705115,328.6428337952979,332.526094667258,354.5503519416399,317.55508243098745,326.823195000652,365.0524384350083
317.55508243098745,322.7535821896627,325.5889353617576,399.8653269533957,328.6428337952979,322.66176906245823,319.9612655813229,326.823195000652,329.21410598913997,416.5976366056518,317.78161302705115,28000,319.3568678660946,326.80544660621774,328.0864159045042,398.5042916585321,338.22088389383134,442.8151909748533,341.52645545483426,354.5503519416399,327.14185437309646,343.33417256157674,365.0524384350083,334.1787064185588,317.97826482438325,332.526094667258,336.20676490733507,364.3578338468513,317.8481276778499,327.21537347944434,367.29489144518857
317.78161302705115,325.53766969170874,325.5889353617576,399.8653269533957,328.6428337952979,322.7535821896627,322.66176906245823,326.823195000652,329.21410598913997,416.5976366056518,317.8481276778499,29000,319.9612655813229,326.80544660621774,328.0864159045042,398.5042916585321,338.22088389383134,442.8151909748533,341.52645545483426,354.5503519416399,327.14185437309646,343.33417256157674,365.0524384350083,334.1787064185588,319.3568678660946,332.526094667258,336.20676490733507,364.3578338468513,317.97826482438325,327.21537347944434,367.29489144518857
317.8481276778499,325.5889353617576,326.80544660621774,399.8653269533957,329.21410598913997,325.53766969170874,322.7535821896627,327.14185437309646,331.08757358454835,416.5976366056518,317.97826482438325,30000,322.66176906245823,326.823195000652,328.6428337952979,398.5042916585321,338.22088389383134,442.8151909748533,341.52645545483426,354.5503519416399,327.21537347944434,343.33417256157674,365.0524384350083,334.1787064185588,319.9612655813229,332.526094667258,336.20676490733507,364.3578338468513,319.3568678660946,328.0864159045042,367.29489144518857
319.9612655813229,326.823195000652,327.14185437309646,399.8653269533957,332.526094667258,326.80544660621774,325.5889353617576,328.0864159045042,333.94875715600864,416.5976366056518,320.82394327347237,31000,325.53766969170874,327.21537347944434,331.08757358454835,398.5042916585321,338.81739079367793,442.8151909748533,341.52645545483426,354.5503519416399,328.6428337952979,343.33417256157674,365.0524384350083,336.20676490733507,322.7535821896627,334.1787064185588,338.22088389383134,364.3578338468513,322.66176906245823,329.21410598913997,367.29489144518857
319.9612655813229,326.823195000652,327.14185437309646,399.8653269533957,332.526094667258,326.80544660621774,325.5889353617576,328.0864159045042,333.94875715600864,416.5976366056518,320.82394327347237,32000,325.53766969170874,327.21537347944434,331.08757358454835,398.5042916585321,338.81739079367793,442.8151909748533,341.52645545483426,354.5503519416399,328.6428337952979,343.33417256157674,365.0524384350083,336.20676490733507,322.7535821896627,334.1787064185588,338.22088389383134,364.3578338468513,322.66176906245823,329.21410598913997,367.29489144518857
319.9612655813229,326.823195000652,327.14185437309646,399.8653269533957,332.526094667258,326.80544660621774,325.5889353617576,328.0864159045042,333.94875715600864,416.5976366056518,320.82394327347237,33000,325.53766969170874,327.21537347944434,331.08757358454835,398.5042916585321,338.81739079367793,442.8151909748533,341.52645545483426,354.5503519416399,328.6428337952979,343.33417256157674,365.0524384350083,336.20676490733507,322.7535821896627,334.1787064185588,338.22088389383134,364.3578338468513,322.66176906245823,329.21410598913997,367.29489144518857
320.82394327347237,326.9946310750761,327.14185437309646,399.8653269533957,332.526094667258,326.823195000652,326.80544660621774,328.0864159045042,333.94875715600864,416.5976366056518,322.66176906245823,34000,325.5889353617576,327.21537347944434,331.08757358454835,398.5042916585321,338.81739079367793,442.8151909748533,341.52645545483426,354.5503519416399,328.6428337952979,343.33417256157674,365.0524384350083,336.20676490733507,325.53766969170874,334.1787064185588,338.22088389383134,364.3578338468513,322.7535821896627,329.21410598913997,367.29489144518857
320.82394327347237,326.9946310750761,327.14185437309646,399.8653269533957,332.526094667258,326.823195000652,326.80544660621774,328.0864159045042,333.94875715600864,416.5976366056518,322.66176906245823,35000,325.5889353617576,327.21537347944434,331.08757358454835,398.5042916585321,338.81739079367793,442.8151909748533,341.52645545483426,354.5503519416399,328.6428337952979,343.33417256157674,365.0524384350083,336.20676490733507,325.53766969170874,334.1787064185588,338.22088389383134,364.3578338468513,322.7535821896627,329.21410598913997,367.29489144518857
320.82394327347237,326.9946310750761,327.14185437309646,399.8653269533957,332.526094667258,326.823195000652,326.80544660621774,328.0864159045042,333.94875715600864,416.5976366056518,322.66176906245823,36000,325.5889353617576,327.21537347944434,331.08757358454835,398.5042916585321,338.81739079367793,442.8151909748533,341.52645545483426,354.5503519416399,328.6428337952979,343.33417256157674,365.0524384350083,336.20676490733507,325.53766969170874,334.1787064185588,338.22088389383134,364.3578338468513,322.7535821896627,329.21410598913997,367.29489144518857
322.7535821896627,327.14185437309646,327.21537347944434,399.8653269533957,333.94875715600864,326.9946310750761,326.823195000652,328.6428337952979,334.1787064185588,416.5976366056518,323.7850617257884,37000,326.80544660621774,328.0864159045042,332.526094667258,398.5042916585321,341.52645545483426,442.8151909748533,343.33417256157674,359.1085752432142,329.21410598913997,354.5503519416399,365.0524384350083,338.22088389383134,325.5889353617576,336.20676490733507,338.81739079367793,364.3578338468513,325.53766969170874,331.08757358454835,367.29489144518857
322.7535821896627,327.14185437309646,327.21537347944434,399.8653269533957,333.94875715600864,326.9946310750761,326.823195000652,328.6428337952979,334.1787064185588,416.5976366056518,323.7850617257884,38000,326.80544660621774,328.0864159045042,332.526094667258,398.5042916585321,341.52645545483426,442.8151909748533,343.33417256157674,359.1085752432142,329.21410598913997,354.5503519416399,365.0524384350083,338.22088389383134,325.5889353617576,336.20676490733507,338.81739079367793,364.3578338468513,325.53766969170874,331.08757358454835,367.29489144518857
325.53766969170874,328.0864159045042,328.6428337952979,399.8653269533957,334.1787064185588,327.21537347944434,327.14185437309646,331.08757358454835,336.20676490733507,416.5976366056518,325.5889353617576,39000,326.9946310750761,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.823195000652,338.22088389383134,341.52645545483426,365.0524384350083,326.80544660621774,332.526094667258,369.7365806972607
325.5889353617576,328.6428337952979,328.81723185757704,399.8653269533957,334.1787064185588,328.0864159045042,327.21537347944434,331.08757358454835,336.20676490733507,416.5976366056518,326.80544660621774,40000,327.14185437309646,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.9946310750761,338.22088389383134,341.52645545483426,365.0524384350083,326.823195000652,332.526094667258,369.7365806972607
325.5889353617576,328.6428337952979,328.81723185757704,399.8653269533957,334.1787064185588,328.0864159045042,327.21537347944434,331.08757358454835,336.20676490733507,416.5976366056518,326.80544660621774,41000,327.14185437309646,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.9946310750761,338.22088389383134,341.52645545483426,365.0524384350083,326.823195000652,332.526094667258,369.7365806972607
325.5889353617576,328.6428337952979,328.81723185757704,399.8653269533957,334.1787064185588,328.0864159045042,327.21537347944434,331.08757358454835,336.20676490733507,416.5976366056518,326.80544660621774,42000,327.14185437309646,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.9946310750761,338.22088389383134,341.52645545483426,365.0524384350083,326.823195000652,332.526094667258,369.7365806972607
325.5889353617576,328.6428337952979,328.81723185757704,399.8653269533957,334.1787064185588,328.0864159045042,327.21537347944434,331.08757358454835,336.20676490733507,416.5976366056518,326.80544660621774,43000,327.14185437309646,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.9946310750761,338.22088389383134,341.52645545483426,365.0524384350083,326.823195000652,332.526094667258,369.7365806972607
325.5889353617576,328.6428337952979,328.81723185757704,399.8653269533957,334.1787064185588,328.0864159045042,327.21537347944434,331.08757358454835,336.20676490733507,416.5976366056518,326.80544660621774,44000,327.14185437309646,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.9946310750761,338.22088389383134,341.52645545483426,365.0524384350083,326.823195000652,332.526094667258,369.7365806972607
325.5889353617576,328.6428337952979,328.81723185757704,399.8653269533957,334.1787064185588,328.0864159045042,327.21537347944434,331.08757358454835,336.20676490733507,416.5976366056518,326.80544660621774,45000,327.14185437309646,329.21410598913997,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,326.9946310750761,338.22088389383134,341.52645545483426,365.0524384350083,326.823195000652,332.526094667258,369.7365806972607
326.80544660621774,328.81723185757704,329.21410598913997,399.8653269533957,334.1787064185588,328.6428337952979,328.0864159045042,331.08757358454835,336.20676490733507,416.5976366056518,326.823195000652,46000,327.21537347944434,329.25719861078136,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,327.14185437309646,338.22088389383134,341.52645545483426,365.0524384350083,326.9946310750761,332.526094667258,369.7365806972607
326.80544660621774,328.81723185757704,329.21410598913997,399.8653269533957,334.1787064185588,328.6428337952979,328.0864159045042,331.08757358454835,336.20676490733507,416.5976366056518,326.823195000652,47000,327.21537347944434,329.25719861078136,333.94875715600864,398.5042916585321,343.33417256157674,442.8151909748533,354.5503519416399,364.3578338468513,331.5054529705067,359.1085752432142,367.29489144518857,338.81739079367793,327.14185437309646,338.22088389383134,341.52645545483426,365.0524384350083,326.9946310750761,332.526094667258,369.7365806972607
