reward 19,reward 11,reward 8,reward 29,StepNum,reward 1,reward 28,reward 25,reward 7,reward 22,reward 0,reward 15,reward 10,reward 17,reward 18,reward 9,reward 4,reward 27,reward 5,reward 2,reward 20,reward 16,reward 24,reward 12,reward 3,reward 13,reward 14,reward 21,reward 23,reward 6,reward 26
270.96302911691356,309.82892019038036,317.6168624800791,-99169.46441250085,21000,374.59167660652037,249.20138909145763,253.85594812352443,322.13533983159584,262.0795170020089,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,278.8542530450188,314.40913133517745,332.17923790804036,253.1855228549489,322.4499256421668,368.7829471585018,270.38047687136293,284.45743793721215,256.04458567430225,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,268.31661464996233,261.98923177800447,322.3946102560306,253.80919217157097
270.96302911691356,309.82892019038036,317.6168624800791,-99169.46441250085,22000,374.59167660652037,249.20138909145763,253.85594812352443,322.13533983159584,262.0795170020089,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,278.8542530450188,314.40913133517745,332.17923790804036,253.1855228549489,322.4499256421668,368.7829471585018,270.38047687136293,284.45743793721215,256.04458567430225,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,268.31661464996233,261.98923177800447,322.3946102560306,253.80919217157097
270.96302911691356,309.82892019038036,317.6168624800791,-99169.46441250085,23000,374.59167660652037,249.20138909145763,253.85594812352443,322.13533983159584,262.0795170020089,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,278.8542530450188,314.40913133517745,332.17923790804036,253.1855228549489,322.4499256421668,368.7829471585018,270.38047687136293,284.45743793721215,256.04458567430225,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,268.31661464996233,261.98923177800447,322.3946102560306,253.80919217157097
270.96302911691356,309.82892019038036,317.6168624800791,-99169.46441250085,24000,374.59167660652037,249.20138909145763,253.85594812352443,322.13533983159584,262.0795170020089,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,278.8542530450188,314.40913133517745,332.17923790804036,253.1855228549489,322.4499256421668,368.7829471585018,270.38047687136293,284.45743793721215,256.04458567430225,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,268.31661464996233,261.98923177800447,322.3946102560306,253.80919217157097
270.96302911691356,309.82892019038036,317.6168624800791,-99169.46441250085,25000,374.59167660652037,249.20138909145763,253.85594812352443,322.13533983159584,262.0795170020089,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,278.8542530450188,314.40913133517745,332.17923790804036,253.1855228549489,322.4499256421668,368.7829471585018,270.38047687136293,284.45743793721215,256.04458567430225,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,268.31661464996233,261.98923177800447,322.3946102560306,253.80919217157097
270.96302911691356,309.82892019038036,317.6168624800791,249.20138909145763,26000,374.59167660652037,253.1855228549489,256.04458567430225,322.13533983159584,263.2855039300623,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,278.8542530450188,314.40913133517745,332.17923790804036,253.80919217157097,322.4499256421668,368.7829471585018,270.38047687136293,284.45743793721215,261.98923177800447,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,268.31661464996233,262.0795170020089,322.3946102560306,253.85594812352443
278.8542530450188,309.82892019038036,317.6168624800791,253.1855228549489,27000,374.59167660652037,253.80919217157097,261.98923177800447,322.13533983159584,268.31661464996233,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,279.739087188816,314.40913133517745,332.17923790804036,253.85594812352443,322.4499256421668,368.7829471585018,270.96302911691356,284.45743793721215,262.0795170020089,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,270.38047687136293,263.2855039300623,322.3946102560306,256.04458567430225
278.8542530450188,309.82892019038036,317.6168624800791,253.1855228549489,28000,374.59167660652037,253.80919217157097,261.98923177800447,322.13533983159584,268.31661464996233,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,279.739087188816,314.40913133517745,332.17923790804036,253.85594812352443,322.4499256421668,368.7829471585018,270.96302911691356,284.45743793721215,262.0795170020089,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,270.38047687136293,263.2855039300623,322.3946102560306,256.04458567430225
278.8542530450188,309.82892019038036,317.6168624800791,253.1855228549489,29000,374.59167660652037,253.80919217157097,261.98923177800447,322.13533983159584,268.31661464996233,407.2138798029901,288.4986045299253,311.2566242177317,283.68121836995493,279.739087188816,314.40913133517745,332.17923790804036,253.85594812352443,322.4499256421668,368.7829471585018,270.96302911691356,284.45743793721215,262.0795170020089,308.9263850426993,342.91913605282195,304.30376584310375,297.74891953255815,270.38047687136293,263.2855039300623,322.3946102560306,256.04458567430225
279.739087188816,309.82892019038036,317.6168624800791,253.80919217157097,30000,374.59167660652037,253.85594812352443,262.0795170020089,322.13533983159584,270.38047687136293,407.2138798029901,297.74891953255815,311.2566242177317,284.45743793721215,283.68121836995493,314.40913133517745,332.17923790804036,256.04458567430225,322.4499256421668,368.7829471585018,278.8542530450188,288.4986045299253,263.2855039300623,309.2136076694738,342.91913605282195,308.9263850426993,304.30376584310375,270.96302911691356,268.31661464996233,322.3946102560306,261.98923177800447
