reward 22,reward 7,reward 2,reward 24,reward 1,reward 17,reward 3,reward 9,reward 26,StepNum,reward 25,reward 18,reward 28,reward 8,reward 15,reward 20,reward 6,reward 19,reward 14,reward 11,reward 4,reward 0,reward 21,reward 10,reward 23,reward 12,reward 27,reward 5,reward 29,reward 16,reward 13
164.5599002890267,348.52907473628443,382.887896122621,163.8588351357662,401.9926776663359,166.57176233026297,380.2867603608944,242.63007888737062,163.27768567089922,25000,163.31516814933167,166.08633971352901,162.9037163873994,245.29345606374602,168.36844822754384,165.44204869836517,355.78960747448036,165.57036447046823,169.8768148507566,233.82930569942732,376.9217977302163,435.3561975417414,165.1801081679992,242.1044110002045,164.29316804077504,232.03981953374043,163.20139313092284,367.182626596038,162.86702016797653,167.01608094904026,230.90147934009823
164.5599002890267,348.52907473628443,382.887896122621,163.8588351357662,401.9926776663359,166.57176233026297,380.2867603608944,242.63007888737062,163.27768567089922,26000,163.31516814933167,166.08633971352901,162.9037163873994,245.29345606374602,168.36844822754384,165.44204869836517,355.78960747448036,165.57036447046823,169.8768148507566,233.82930569942732,376.9217977302163,435.3561975417414,165.1801081679992,242.1044110002045,164.29316804077504,232.03981953374043,163.20139313092284,367.182626596038,162.86702016797653,167.01608094904026,230.90147934009823
164.5599002890267,348.52907473628443,382.887896122621,163.8588351357662,401.9926776663359,166.57176233026297,380.2867603608944,242.63007888737062,163.27768567089922,27000,163.31516814933167,166.08633971352901,162.9037163873994,245.29345606374602,168.36844822754384,165.44204869836517,355.78960747448036,165.57036447046823,169.8768148507566,233.82930569942732,376.9217977302163,435.3561975417414,165.1801081679992,242.1044110002045,164.29316804077504,232.03981953374043,163.20139313092284,367.182626596038,162.86702016797653,167.01608094904026,230.90147934009823
165.44204869836517,348.52907473628443,382.887896122621,164.5599002890267,401.9926776663359,168.36844822754384,380.2867603608944,242.63007888737062,163.8588351357662,28000,164.29316804077504,167.01608094904026,163.27768567089922,245.29345606374602,226.19688832247263,166.08633971352901,355.78960747448036,166.57176233026297,230.90147934009823,233.82930569942732,376.9217977302163,435.3561975417414,165.57036447046823,242.1044110002045,165.1801081679992,233.4938721630461,163.31516814933167,367.182626596038,163.20139313092284,169.8768148507566,232.03981953374043
165.44204869836517,348.52907473628443,382.887896122621,164.5599002890267,401.9926776663359,168.36844822754384,380.2867603608944,242.63007888737062,163.8588351357662,29000,164.29316804077504,167.01608094904026,163.27768567089922,245.29345606374602,226.19688832247263,166.08633971352901,355.78960747448036,166.57176233026297,230.90147934009823,233.82930569942732,376.9217977302163,435.3561975417414,165.57036447046823,242.1044110002045,165.1801081679992,233.4938721630461,163.31516814933167,367.182626596038,163.20139313092284,169.8768148507566,232.03981953374043
165.44204869836517,348.52907473628443,382.887896122621,164.5599002890267,401.9926776663359,168.36844822754384,380.2867603608944,242.63007888737062,163.8588351357662,30000,164.29316804077504,167.01608094904026,163.27768567089922,245.29345606374602,226.19688832247263,166.08633971352901,355.78960747448036,166.57176233026297,230.90147934009823,233.82930569942732,376.9217977302163,435.3561975417414,165.57036447046823,242.1044110002045,165.1801081679992,233.4938721630461,163.31516814933167,367.182626596038,163.20139313092284,169.8768148507566,232.03981953374043
166.02835076820827,348.52907473628443,382.887896122621,165.44204869836517,401.9926776663359,169.8768148507566,380.2867603608944,242.63007888737062,164.5599002890267,31000,165.1801081679992,168.36844822754384,164.29316804077504,245.29345606374602,230.90147934009823,166.57176233026297,355.78960747448036,167.01608094904026,232.03981953374043,236.96976531149394,376.9217977302163,435.3561975417414,166.08633971352901,242.1044110002045,165.57036447046823,233.82930569942732,164.350625348007,367.182626596038,163.8588351357662,226.19688832247263,233.4938721630461
166.02835076820827,348.52907473628443,382.887896122621,165.44204869836517,401.9926776663359,169.8768148507566,380.2867603608944,242.63007888737062,164.5599002890267,32000,165.1801081679992,168.36844822754384,164.29316804077504,245.29345606374602,230.90147934009823,166.57176233026297,355.78960747448036,167.01608094904026,232.03981953374043,236.96976531149394,376.9217977302163,435.3561975417414,166.08633971352901,242.1044110002045,165.57036447046823,233.82930569942732,164.350625348007,367.182626596038,163.8588351357662,226.19688832247263,233.4938721630461
166.57176233026297,355.78960747448036,401.9926776663359,166.02835076820827,435.3561975417414,226.19688832247263,382.887896122621,245.29345606374602,165.44204869836517,33000,165.57036447046823,169.8768148507566,164.5599002890267,348.52907473628443,232.03981953374043,167.22414794465746,367.182626596038,168.36844822754384,233.4938721630461,242.1044110002045,380.2867603608944,441.3980236939136,167.01608094904026,242.63007888737062,166.08633971352901,236.96976531149394,165.1801081679992,376.9217977302163,164.350625348007,230.90147934009823,233.82930569942732
167.22414794465746,367.182626596038,401.9926776663359,166.57176233026297,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.02835076820827,34000,166.08633971352901,230.24043361545876,165.44204869836517,355.78960747448036,233.4938721630461,169.8768148507566,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,168.36844822754384,245.29345606374602,167.01608094904026,242.1044110002045,165.57036447046823,376.9217977302163,165.1801081679992,232.03981953374043,236.96976531149394
