reward 7,reward 15,reward 11,reward 9,reward 19,reward 29,reward 23,reward 10,reward 3,reward 6,reward 18,reward 14,reward 24,reward 25,reward 13,reward 8,reward 0,reward 26,reward 12,reward 27,reward 21,reward 5,StepNum,reward 17,reward 16,reward 20,reward 4,reward 1,reward 22,reward 28,reward 2
244.81667428278044,235.41702571541288,241.28621532484044,243.4662689232808,233.09141213088654,224.99341152691287,227.55898076187867,242.6494469609142,270.61438685725295,267.4470678590329,233.7161470115282,239.97371398206678,227.45986008439695,226.77104522527668,240.46561571722754,243.50836280624426,312.7024662745111,225.7640447032835,240.745485556911,225.28010683810965,232.21386146885408,267.9216187364138,19000,234.7420106150082,235.18536151783186,232.2708523671207,268.35254981138735,286.7734381886662,228.0959897455321,225.11488057457996,284.09223893105263
247.32833643899565,239.97371398206678,242.6494469609142,243.50836280624426,234.42031345118335,226.77104522527668,232.21386146885408,243.4662689232808,270.61438685725295,267.4470678590329,234.7420106150082,240.46561571722754,231.3405676053118,229.4424020342366,240.745485556911,244.81667428278044,312.7024662745111,228.0959897455321,241.28621532484044,227.55898076187867,233.09141213088654,267.9216187364138,20000,235.18536151783186,235.41702571541288,233.7161470115282,268.35254981138735,286.7734381886662,232.2708523671207,227.45986008439695,284.09223893105263
247.32833643899565,239.97371398206678,242.6494469609142,243.50836280624426,234.7420106150082,227.45986008439695,232.2708523671207,243.4662689232808,270.61438685725295,267.4470678590329,234.80531168744156,240.46561571722754,232.21386146885408,231.3405676053118,240.745485556911,244.81667428278044,312.7024662745111,229.4424020342366,241.28621532484044,228.0959897455321,233.7161470115282,267.9216187364138,21000,235.18536151783186,235.41702571541288,234.42031345118335,268.35254981138735,286.7734381886662,233.09141213088654,227.55898076187867,284.09223893105263
254.21064923740443,240.46561571722754,243.4662689232808,244.81667428278044,234.80531168744156,227.55898076187867,233.09141213088654,243.50836280624426,270.61438685725295,267.4470678590329,235.18536151783186,240.745485556911,232.2708523671207,232.21386146885408,241.28621532484044,247.32833643899565,312.7024662745111,231.3405676053118,242.6494469609142,229.4424020342366,234.42031345118335,267.9216187364138,22000,235.41702571541288,239.97371398206678,234.7420106150082,268.35254981138735,286.7734381886662,233.7161470115282,228.0959897455321,284.09223893105263
254.21064923740443,240.46561571722754,243.4662689232808,244.81667428278044,234.80531168744156,227.55898076187867,233.09141213088654,243.50836280624426,270.61438685725295,267.4470678590329,235.18536151783186,240.745485556911,232.2708523671207,232.21386146885408,241.28621532484044,247.32833643899565,312.7024662745111,231.3405676053118,242.6494469609142,229.4424020342366,234.42031345118335,267.9216187364138,23000,235.41702571541288,239.97371398206678,234.7420106150082,268.35254981138735,286.7734381886662,233.7161470115282,228.0959897455321,284.09223893105263
254.21064923740443,240.46561571722754,243.4662689232808,244.81667428278044,234.80531168744156,227.55898076187867,233.09141213088654,243.50836280624426,270.61438685725295,267.4470678590329,235.18536151783186,240.745485556911,232.2708523671207,232.21386146885408,241.28621532484044,247.32833643899565,312.7024662745111,231.3405676053118,242.6494469609142,229.4424020342366,234.42031345118335,267.9216187364138,24000,235.41702571541288,239.97371398206678,234.7420106150082,268.35254981138735,286.7734381886662,233.7161470115282,228.0959897455321,284.09223893105263
267.4470678590329,240.745485556911,243.50836280624426,247.32833643899565,235.18536151783186,230.00943514518303,233.7161470115282,244.81667428278044,284.09223893105263,267.9216187364138,235.41702571541288,241.28621532484044,233.09141213088654,232.2708523671207,242.6494469609142,254.21064923740443,312.7024662745111,232.21386146885408,243.4662689232808,231.3405676053118,234.7420106150082,268.35254981138735,25000,239.97371398206678,240.46561571722754,234.80531168744156,270.61438685725295,293.9028817606384,234.42031345118335,230.8327632153573,286.7734381886662
267.4470678590329,240.745485556911,243.50836280624426,247.32833643899565,235.18536151783186,230.00943514518303,233.7161470115282,244.81667428278044,284.09223893105263,267.9216187364138,235.41702571541288,241.28621532484044,233.09141213088654,232.2708523671207,242.6494469609142,254.21064923740443,312.7024662745111,232.21386146885408,243.4662689232808,231.3405676053118,234.7420106150082,268.35254981138735,26000,239.97371398206678,240.46561571722754,234.80531168744156,270.61438685725295,293.9028817606384,234.42031345118335,230.8327632153573,286.7734381886662
267.4470678590329,242.58586523728354,244.81667428278044,254.21064923740443,239.97371398206678,231.3405676053118,234.7420106150082,247.32833643899565,284.09223893105263,267.9216187364138,240.46561571722754,242.6494469609142,234.42031345118335,233.7161470115282,243.4662689232808,265.1429069974418,312.7024662745111,233.09141213088654,243.50836280624426,232.2708523671207,235.18536151783186,268.35254981138735,27000,240.745485556911,241.28621532484044,235.41702571541288,270.61438685725295,293.9028817606384,234.80531168744156,232.21386146885408,286.7734381886662
267.4470678590329,242.58586523728354,244.81667428278044,254.21064923740443,239.97371398206678,231.3405676053118,234.7420106150082,247.32833643899565,284.09223893105263,267.9216187364138,240.46561571722754,242.6494469609142,234.42031345118335,233.7161470115282,243.4662689232808,265.1429069974418,312.7024662745111,233.09141213088654,243.50836280624426,232.2708523671207,235.18536151783186,268.35254981138735,28000,240.745485556911,241.28621532484044,235.41702571541288,270.61438685725295,293.9028817606384,234.80531168744156,232.21386146885408,286.7734381886662
267.4470678590329,242.58586523728354,244.81667428278044,254.21064923740443,239.97371398206678,231.3405676053118,234.7420106150082,247.32833643899565,284.09223893105263,267.9216187364138,240.46561571722754,242.6494469609142,234.42031345118335,233.7161470115282,243.4662689232808,265.1429069974418,312.7024662745111,233.09141213088654,243.50836280624426,232.2708523671207,235.18536151783186,268.35254981138735,29000,240.745485556911,241.28621532484044,235.41702571541288,270.61438685725295,293.9028817606384,234.80531168744156,232.21386146885408,286.7734381886662
267.9216187364138,242.6494469609142,247.32833643899565,265.1429069974418,240.46561571722754,232.21386146885408,234.80531168744156,254.21064923740443,284.09223893105263,268.35254981138735,240.745485556911,243.4662689232808,234.7420106150082,234.42031345118335,243.50836280624426,267.4470678590329,312.7024662745111,233.7161470115282,244.81667428278044,233.09141213088654,235.41702571541288,270.61438685725295,30000,241.28621532484044,242.58586523728354,239.97371398206678,277.27516472251875,293.9028817606384,235.18536151783186,232.2708523671207,286.7734381886662
267.9216187364138,242.6494469609142,247.32833643899565,265.1429069974418,240.46561571722754,232.21386146885408,234.80531168744156,254.21064923740443,284.09223893105263,268.35254981138735,240.745485556911,243.4662689232808,234.7420106150082,234.42031345118335,243.50836280624426,267.4470678590329,312.7024662745111,233.7161470115282,244.81667428278044,233.09141213088654,235.41702571541288,270.61438685725295,31000,241.28621532484044,242.58586523728354,239.97371398206678,277.27516472251875,293.9028817606384,235.18536151783186,232.2708523671207,286.7734381886662
268.35254981138735,243.4662689232808,254.21064923740443,267.4470678590329,240.745485556911,232.2708523671207,235.18536151783186,265.1429069974418,286.7734381886662,270.61438685725295,241.28621532484044,243.50836280624426,234.80531168744156,234.7420106150082,244.81667428278044,267.9216187364138,320.33415759863965,234.42031345118335,247.32833643899565,233.7161470115282,239.97371398206678,277.27516472251875,32000,242.58586523728354,242.6494469609142,240.46561571722754,284.09223893105263,312.7024662745111,235.41702571541288,233.09141213088654,293.9028817606384
