misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
3340,1202760,250,-1.63127816,1.3807372093200683,-0.0032618403434753417,2.6588285088539125
3360,1209960,250,-4.49988785,1.3815596938133239,0.0020350977778434754,17.03546690940857
3380,1217160,250,-2.7084006,1.3813804864883423,-0.0004899868741631508,5.33047679066658
3400,1224360,250,-3.9247229,1.3819214940071105,-0.013573919236660004,7.2465463250875475
3420,1231560,250,-4.28598403,1.3815803050994873,0.00011604167520999909,3.1006281793117525
3440,1238760,250,-6.1329715,1.3820020794868468,0.01260017454624176,6.344455087184906
3460,1245960,250,-4.27592824,1.3818351864814757,0.00907745212316513,9.073767530918122
3480,1253160,250,-1.8291211299999999,1.3814526796340942,-0.0022333101136609913,9.314492762088776
3500,1260360,250,-2.05445109,1.3816349029541015,0.0005257084965705871,4.75706584751606
3520,1267560,250,0.3562325599999994,1.3824708104133605,0.004025683924555779,10.09309683740139
3540,1274760,250,-3.66257747,1.380919301509857,0.002855433477088809,7.269934868812561
3560,1281960,250,-5.0148658,1.3811885952949523,-0.003238452970981598,10.21979624927044
3580,1289160,250,-3.9184279900000014,1.3811446666717528,0.00013609102461487055,7.17267654389143
3600,1296360,250,-5.810228769999998,1.3810946345329285,-0.003834923589602113,9.592518465220929
3620,1303560,250,-7.6399719500000005,1.3807984590530396,-0.0073409756179898976,1.3516381561756134
3640,1310760,250,-4.873144889999999,1.3802627205848694,-0.0009957626461982727,9.074293756484986
3660,1317960,250,-3.90268637,1.3801119327545166,-0.0015180199407041073,7.8755512714385985
3680,1325160,250,-5.55916871,1.3792236208915711,0.00047921505756676197,4.581709003448486
3700,1332360,250,-2.3414599199999997,1.3778037667274474,-0.00144684836268425,5.135277941823006
3720,1339560,250,-2.7581039,1.3765851974487304,-0.0010575059801340102,8.887805652618407
3740,1346760,250,-3.23881331,1.37621967792511,0.0011391721665859223,14.389071345329285
3760,1353960,250,-6.15993035,1.3755856513977052,-0.0035395991057157517,6.590940290689469
3780,1361160,250,-4.213904079999999,1.3751850485801698,0.002784249931573868,4.350297999382019
3800,1368360,250,-1.0265648300000003,1.3742629051208497,-0.0058816511183977125,6.955209337174892
3820,1375560,250,-1.8247246700000002,1.3742896556854247,0.005544957704842091,3.8154847383499146
3840,1382760,250,0.3214596900000004,1.3736151337623597,-0.0013592757284641265,3.03613486289978
3860,1389960,250,0.8310136800000001,1.3718802332878113,-0.01660471884533763,7.401044736802578
3880,1397160,250,-3.274996580000001,1.3702705025672912,0.0059989549219608305,9.391353523731231
3900,1404360,250,1.0211286,1.3698894739151002,-0.015661942213773726,0.3564004436135292
3920,1411560,250,0.06147651000000034,1.368938958644867,-0.010548471845686436,4.288481518626213
3940,1418760,250,-1.5268929100000002,1.3675719380378724,-0.0026088349521160127,2.1292646497488024
3960,1425960,250,0.9202724200000003,1.3666932225227355,-0.0034017838537693025,12.018509817123412
3980,1433160,250,1.14326692,1.3670608401298523,-0.000723249465227127,1.0228173226118087
4000,1440360,250,-2.18622523,1.3663988709449768,-0.0028397195739671586,3.796450710296631
4020,1447560,250,-2.3551322299999997,1.365666961669922,0.000615062564611435,1.7398504793643952
4040,1454760,250,1.3576325999999996,1.3659898519515992,-0.004647185280919075,0.2683617740869522
4060,1461960,250,-0.9919296999999996,1.3648959517478942,-0.006992136873304844,18.995185125619173
4080,1469160,250,0.5957150999999999,1.3650990843772888,-0.0005076276138424873,2.000504343211651
4100,1476360,250,-0.8283623800000002,1.3646057844161987,0.011883695796132087,13.69909381866455
4120,1483560,250,-3.2065504200000006,1.3642249822616577,0.0026900731027126312,0.9940047323703766
4140,1490760,250,-1.5605821200000003,1.3639524459838868,0.005419401358813048,16.296063661575317
4160,1497960,250,0.6162338900000003,1.3635472178459167,0.005487275123596191,6.323286798596382
4180,1505160,250,1.19474596,1.3634204387664794,-0.0021933190524578094,8.018930685520171
4200,1512360,250,2.4951949399999998,1.363039493560791,-0.006450064480304718,4.964638835191726
4220,1519560,250,0.36091682000000014,1.3625776052474976,0.011599887162446976,6.635681790113449
4240,1526760,250,-5.095819170000001,1.363333523273468,0.010473768040537835,18.120510771870613
4260,1533960,250,-6.238508379999998,1.363673210144043,0.007158815860748291,18.74592580795288
4280,1541160,250,-3.5512865899999997,1.363204824924469,0.0010919294552877545,10.025264701247215
4300,1548360,250,-5.06453918,1.36275874376297,-0.0019522039219737053,0.6577321082353592
4320,1555560,250,-4.05173419,1.3622562885284424,-0.00374252125620842,10.218219435214996
4340,1562760,250,-0.8296876000000001,1.362940740585327,-0.0043638119124807416,4.942063701152802
4360,1569960,250,-0.9476868400000004,1.3631444811820983,0.00340904276818037,6.211289811134338
4380,1577160,250,-1.3698830199999998,1.3632737636566161,-0.009593470115214586,7.339091631770134
4400,1584360,250,-1.4667306100000004,1.3627453923225403,0.007793623208999634,4.728679031133652
4420,1591560,250,-6.990308680000001,1.3626331210136413,-0.0018824541941285134,10.916530594229698
4440,1598760,250,-3.567682310000001,1.362992537021637,0.0035063177347183228,7.908715741336346
4460,1605960,250,-2.0262986100000004,1.3623475193977357,0.001680622063577175,18.45688949227333
4480,1613160,250,-1.3077974899999996,1.3619518637657166,0.010926846787333489,8.077223312854766
4500,1620360,250,-2.28375332,1.3615927577018738,-0.004360939376056194,13.946702361106873
4520,1627560,250,-2.5879799300000004,1.3617937922477723,0.005285788327455521,7.959074068069458
4540,1634760,250,-3.2317618899999996,1.3617064476013183,-0.0011918172240257263,22.014578771591186
4560,1641960,250,0.8409308800000003,1.3608054399490357,0.00403941422700882,4.799340081214905
4580,1649160,250,-6.82910723,1.3610010385513305,0.0027073465287685396,14.592189693450928
4600,1656360,250,1.64794835,1.3614481329917907,-0.0189202681183815,10.152552992105484
4620,1663560,250,0.09316152000000003,1.3634447932243348,-0.0013443680480122566,12.253643214702606
4640,1670760,250,-2.9347271299999993,1.363834512233734,-0.0019003212451934814,19.08200400471687
4660,1677960,250,-0.4705614799999999,1.363701069355011,0.010662169009447098,26.147228050231934
4680,1685160,250,-1.2586110400000003,1.3642382502555848,-0.0025714827701449395,22.506101417541505
4700,1692360,250,-0.7386634300000003,1.3640652775764466,-0.007057012617588043,9.35032136440277
4720,1699560,250,-7.096375889999999,1.3637553095817565,-5.363002419471741e-05,18.119664669036865
4740,1706760,250,0.021386239999999983,1.3650487542152405,0.01600021552294493,5.117309230566025
4760,1713960,250,-3.68554561,1.3642481088638305,0.00040068216621875764,16.72268147468567
4780,1721160,250,-2.8531961099999994,1.36355299949646,-0.005785995814949274,24.293042182922363
4800,1728360,250,0.3776187599999997,1.3637532472610474,-0.008448101766407489,17.44456465244293
4820,1735560,250,-2.7200365600000005,1.3640084385871887,-0.003908834792673588,16.36215102672577
4840,1742760,250,-6.31123,1.3622031807899475,-0.0023721858859062197,5.287729868292809
4860,1749960,250,-4.781363160000001,1.362658429145813,-0.0016922689974308014,6.538987803459167
4880,1757160,250,-1.06451231,1.3621678590774535,0.0003131799399852753,22.55171557664871
4900,1764360,250,-2.815778980000001,1.3623647928237914,0.005361237376928329,3.9212841510772707
4920,1771560,249,-1.02187415,1.3622406005859375,-0.003962787240743637,13.429788589477539
4940,1778760,249,0.87477706,1.3614930272102357,-0.007545051723718643,6.517389631271362
4960,1785960,249,-0.5859355999999996,1.3608992099761963,0.0019048735499382018,8.248581904172898
4980,1793160,249,0.007928449999999714,1.361668848991394,0.008589411899447442,12.298428750038147
5000,1800360,249,-1.52024346,1.3612165689468383,-0.009133571200072766,3.0462089002132418
5020,1807560,249,0.18123294999999998,1.3613492012023927,-0.00016975328326225282,11.804216253757478
5040,1814760,249,-1.5489463699999997,1.361816370487213,0.004027712345123291,18.57761380672455
5060,1821960,249,-2.13624136,1.36205894947052,-0.0010323250433430075,5.864929902553558
5080,1829160,249,-1.9699960800000005,1.3617599368095399,-0.005246302334126085,5.237545239925384
5100,1836360,249,-0.15246105000000015,1.3617099046707153,0.0038701832294464112,9.626835680007934
5120,1843560,249,0.8346885500000002,1.3611425518989564,-0.004224968701601028,1.310105037689209
5140,1850760,249,1.1893679200000002,1.362195336818695,-0.003483659774065018,3.314068320393562
5160,1857960,249,-0.75172564,1.360142982006073,-0.010271098464727402,10.72960867881775
5180,1865160,249,0.11884758999999978,1.3580684781074523,-0.0030146263539791106,8.398077702522277
5200,1872360,249,-0.1723974099999998,1.3580491900444032,-0.0004986023530364036,6.073541355133057
5220,1879560,249,1.14720512,1.357457685470581,0.011943800747394562,11.278670823574066
5240,1886760,249,1.4350966699999994,1.357469391822815,-0.001973103790078312,14.343574464321136
5260,1893960,249,1.4155141800000002,1.3566184282302856,-0.004808780550956726,7.304124104976654
5280,1901160,249,3.5017660199999994,1.3562264323234559,-0.003701966442167759,17.19018907546997
5300,1908360,249,-1.8351263999999994,1.3562552213668824,-0.005720940977334976,25.068292903900147
5320,1915560,249,3.5444763799999985,1.355528724193573,0.0013831114047206938,16.012174224853517
5340,1922760,249,-3.25465996,1.3559499263763428,0.005520164035260677,19.688332557678223
5360,1929960,249,-0.49416613000000004,1.3569153904914857,-0.0017888886854052545,16.3173926115036
5380,1937160,249,0.8693208300000005,1.3579306960105897,0.006814099103212357,13.796084536612033
5400,1944360,249,2.1211358799999998,1.3583186745643616,0.003038314264267683,10.8861168384552
5420,1951560,249,2.99052211,1.3574642658233642,-0.009197689592838287,6.123856467008591
5440,1958760,249,0.3909372500000004,1.3577518939971924,-0.0013065055012702943,7.432788217067719
5460,1965960,249,3.98742196,1.3565938949584961,0.014424975775182248,6.1956188678741455
5480,1973160,249,1.9889861400000006,1.356799066066742,-0.0012412723153829575,27.343876552581786
5500,1980360,249,1.0982724,1.356459879875183,-0.0025132753886282443,3.2400782644748687
5520,1987560,249,1.5360765199999997,1.3578331470489502,-0.0001235000789165497,1.5916392087936402
5540,1994760,249,4.454134130000001,1.3579106688499452,-0.015520960837602616,10.255117797851563
5560,2001960,249,0.8991881599999999,1.3579907894134522,-0.003041823022067547,2.7927888512611387
5580,2009160,249,3.75730018,1.357442593574524,-0.002228730916976929,8.068239605426788
5600,2016360,249,2.5661718399999995,1.3582433700561523,-0.0029389325529336928,1.480648247897625
5620,2023560,249,4.812281269999999,1.3581099271774293,0.010238360986113549,19.740883922576906
5640,2030760,249,2.8686182700000002,1.3582456350326537,-0.0023181652650237083,5.049170792102814
5660,2037960,249,2.1717583599999997,1.3569913625717163,0.000935404747724533,3.383245062828064
5680,2045160,249,1.4099384700000002,1.3568912506103517,0.0074559036642313,9.380919675529004
5700,2052360,249,1.44648859,1.3567736625671387,0.0015307995956391097,7.473256003856659
5720,2059560,249,1.18830108,1.3564604282379151,-0.003362562134861946,3.0959096372127535
5740,2066760,249,0.9143308600000002,1.3549214601516724,-0.016183863673359156,7.051062703132629
5760,2073960,249,-0.15744356999999976,1.3544203400611878,0.005661462619900704,3.1617867052555084
5780,2081160,249,4.13444529,1.3548184990882874,0.004330358840525151,9.976732730865479
5800,2088360,249,0.3803704800000001,1.3540653705596923,-0.0019183672964572906,10.547974568605422
5820,2095560,249,4.530139009999999,1.353469467163086,-0.004336351156234741,12.109456539154053
5840,2102760,249,4.0154472000000005,1.3529035329818726,-0.0024320932105183603,21.420477348566056
5860,2109960,249,2.854360129999999,1.3525878667831421,0.002056553028523922,18.39686975479126
5880,2117160,249,-1.0194812800000004,1.353713858127594,0.003012646362185478,5.293115770816803
5900,2124360,249,2.6251926300000004,1.3528624415397643,-0.007291361689567566,26.431534099578858
5920,2131560,249,-0.9393507600000001,1.3518370747566224,0.01725684981793165,15.16298126578331
5940,2138760,249,5.60189599,1.3507142543792725,-0.005490782111883164,11.13707913160324
5960,2145960,249,5.2259204299999995,1.3505098462104796,0.0023268820717930795,7.534300631284713
5980,2153160,249,8.371291640000003,1.3498385429382325,-0.00701545849442482,11.01536917090416
6000,2160360,249,-2.0133258499999998,1.3490192532539367,-0.004725378006696701,6.216279482841491
6020,2167560,249,-0.9900506399999994,1.3498046398162842,0.002465993911027908,10.882292330265045
6040,2174760,249,3.0647398299999993,1.3496173024177551,-0.0058749990887008606,16.485631269216537
6060,2181960,249,0.7931193900000008,1.3495697975158691,-0.005477953143417836,9.87323579788208
6080,2189160,249,3.2564967900000004,1.3481948852539063,-0.005375254712998867,13.728743076324463
6100,2196360,249,2.775685689999999,1.3476248621940612,-0.0061930730938911435,6.983622044324875
6120,2203560,249,2.173418270000001,1.3477383375167846,-0.005312243103981018,20.01456273198128
6140,2210760,249,4.66799507,1.3477088332176208,0.005999235063791275,11.683231782913207
6160,2217960,249,3.128294679999999,1.3482198596000672,0.006383095495402813,9.786933529376984
6180,2225160,249,2.67662562,1.3473290801048279,0.00046935975551605226,11.481371068954468
6200,2232360,249,2.10870426,1.346818995475769,-0.004783375933766365,12.750301384925843
6220,2239560,249,1.6729070399999997,1.34658545255661,-0.001928836852312088,3.8655564069747923
6240,2246760,249,4.31496373,1.3460461020469665,-0.0012085374444723129,12.561230206489563
6260,2253960,249,4.04186479,1.3466516137123108,-0.0004832900711335242,5.508541488647461
6280,2261160,249,-0.18138093999999996,1.3467531085014344,-0.0018521539866924285,7.253426778316498
6300,2268360,249,0.5273423999999999,1.3460757732391357,-0.005095831863582134,11.25781645178795
