reward 27,reward 2,StepNum,reward 1,reward 11,reward 14,reward 10,reward 12,reward 6,reward 23,reward 13,reward 9,reward 29,reward 21,reward 26,reward 3,reward 7,reward 28,reward 0,reward 16,reward 4,reward 24,reward 18,reward 15,reward 25,reward 20,reward 19,reward 22,reward 17,reward 8,reward 5
187.43980418951185,332.1813594006932,21000,341.30984615476393,215.71822908450292,202.156022482803,230.53830052115583,213.18694402329834,261.4200580270982,191.763600360473,207.6221728057485,253.74160865901752,185.97116096765126,193.31979323048753,187.49599478066693,295.5981498381689,256.1335995809985,185.9730711951977,347.9386215549627,199.13436686792858,286.0804225473714,190.83310037184563,194.11709786361303,201.92038768882622,190.01189956852699,193.35832296102205,193.86794623363826,192.84101655666842,194.7580067692557,255.3046229567508,264.98130047053667
187.43980418951185,332.1813594006932,22000,341.30984615476393,215.71822908450292,202.156022482803,230.53830052115583,213.18694402329834,261.4200580270982,191.763600360473,207.6221728057485,253.74160865901752,185.97116096765126,193.31979323048753,187.49599478066693,295.5981498381689,256.1335995809985,185.9730711951977,347.9386215549627,199.13436686792858,286.0804225473714,190.83310037184563,194.11709786361303,201.92038768882622,190.01189956852699,193.35832296102205,193.86794623363826,192.84101655666842,194.7580067692557,255.3046229567508,264.98130047053667
187.49599478066693,332.1813594006932,23000,341.30984615476393,215.71822908450292,202.156022482803,230.53830052115583,213.18694402329834,261.4200580270982,192.84101655666842,207.6221728057485,253.74160865901752,185.9730711951977,193.35832296102205,190.01189956852699,295.5981498381689,256.1335995809985,187.43980418951185,347.9386215549627,199.13436686792858,286.0804225473714,191.763600360473,194.11709786361303,201.92038768882622,190.83310037184563,193.40372462739572,193.86794623363826,193.31979323048753,194.7580067692557,255.3046229567508,264.98130047053667
190.01189956852699,332.1813594006932,24000,341.30984615476393,215.71822908450292,202.156022482803,230.53830052115583,213.18694402329834,261.4200580270982,192.84101655666842,207.6221728057485,253.74160865901752,187.43980418951185,193.35832296102205,190.83310037184563,295.5981498381689,256.1335995809985,187.49599478066693,347.9386215549627,199.13436686792858,286.0804225473714,191.9093400240398,194.11709786361303,201.92038768882622,191.763600360473,193.40372462739572,193.86794623363826,193.31979323048753,194.7580067692557,255.3046229567508,264.98130047053667
191.763600360473,332.1813594006932,25000,341.30984615476393,230.53830052115583,213.18694402329834,253.74160865901752,215.71822908450292,264.98130047053667,193.35832296102205,213.84294743219112,255.3046229567508,190.01189956852699,193.86794623363826,191.9093400240398,295.5981498381689,261.4200580270982,190.83310037184563,347.9386215549627,202.156022482803,286.0804225473714,193.31979323048753,199.13436686792858,207.6221728057485,192.84101655666842,194.11709786361303,194.7580067692557,193.40372462739572,201.92038768882622,256.1335995809985,279.6683753997426
192.84101655666842,332.1813594006932,26000,341.30984615476393,247.13862449191225,213.84294743219112,253.74160865901752,230.53830052115583,264.98130047053667,193.86794623363826,215.71822908450292,255.3046229567508,191.763600360473,194.7580067692557,193.31979323048753,295.5981498381689,261.4200580270982,191.9093400240398,347.9386215549627,207.6221728057485,286.0804225473714,193.40372462739572,201.92038768882622,213.18694402329834,193.35832296102205,196.14331133486348,199.13436686792858,194.11709786361303,202.156022482803,256.1335995809985,279.6683753997426
192.84101655666842,332.1813594006932,27000,341.30984615476393,247.13862449191225,213.84294743219112,253.74160865901752,230.53830052115583,264.98130047053667,193.86794623363826,215.71822908450292,255.3046229567508,191.763600360473,194.7580067692557,193.31979323048753,295.5981498381689,261.4200580270982,191.9093400240398,347.9386215549627,207.6221728057485,286.0804225473714,193.40372462739572,201.92038768882622,213.18694402329834,193.35832296102205,196.14331133486348,199.13436686792858,194.11709786361303,202.156022482803,256.1335995809985,279.6683753997426
192.84101655666842,332.1813594006932,28000,341.30984615476393,247.13862449191225,213.84294743219112,253.74160865901752,230.53830052115583,264.98130047053667,193.86794623363826,215.71822908450292,255.3046229567508,191.763600360473,194.7580067692557,193.31979323048753,295.5981498381689,261.4200580270982,191.9093400240398,347.9386215549627,207.6221728057485,286.0804225473714,193.40372462739572,201.92038768882622,213.18694402329834,193.35832296102205,196.14331133486348,199.13436686792858,194.11709786361303,202.156022482803,256.1335995809985,279.6683753997426
193.35832296102205,332.1813594006932,29000,341.30984615476393,247.13862449191225,229.19102322449794,253.74160865901752,241.3110032717216,264.98130047053667,194.7580067692557,230.53830052115583,255.3046229567508,192.84101655666842,199.13436686792858,193.40372462739572,295.5981498381689,261.4200580270982,193.31979323048753,347.9386215549627,213.84294743219112,286.0804225473714,194.11709786361303,207.6221728057485,215.71822908450292,193.86794623363826,201.92038768882622,202.156022482803,196.14331133486348,213.18694402329834,256.1335995809985,279.6683753997426
193.40372462739572,332.1813594006932,30000,341.30984615476393,247.13862449191225,229.19102322449794,253.74160865901752,241.3110032717216,264.98130047053667,196.14331133486348,230.53830052115583,255.3046229567508,193.31979323048753,199.13436686792858,193.86794623363826,295.5981498381689,261.4200580270982,193.35832296102205,347.9386215549627,213.84294743219112,286.0804225473714,194.7580067692557,207.6221728057485,215.71822908450292,194.11709786361303,201.92038768882622,202.156022482803,198.54954347775578,213.18694402329834,256.1335995809985,279.6683753997426
